0.0,0.059,0.119,0.178,0.237,0.297,0.356,0.415,0.475,0.534,0.594,0.643,0.692,0.741,0.79,0.839,0.888,0.937,0.986,1.034,1.083,1.131,1.18,1.228,1.278,1.329,1.381,1.435,1.49,1.546,1.603,1.66,1.718,1.776,1.839,1.907,1.979,2.056,2.138,2.222,2.308,2.398,2.489,2.583,2.678,2.774,2.87,2.968,3.068,3.178,3.3,3.433,3.579,3.736,3.91,4.101,4.309,4.533,4.775,5.033,5.308
0.0283,0.0293,0.0295,0.0288,0.0272,0.0248,0.0216,0.0175,0.0125,0.0067,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0374,0.0383,0.0384,0.0377,0.0362,0.0339,0.0308,0.0266,0.0213,0.0149,0.0073,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0465,0.0472,0.0473,0.0466,0.0452,0.043,0.04,0.0358,0.0304,0.0237,0.0158,0.0083,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0555,0.0561,0.0561,0.0555,0.0541,0.0521,0.0492,0.0451,0.0396,0.0328,0.0248,0.0173,0.0091,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0645,0.0649,0.0649,0.0643,0.063,0.0611,0.0584,0.0545,0.049,0.0422,0.0343,0.0269,0.0187,0.0097,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0734,0.0737,0.0736,0.0731,0.0719,0.0701,0.0677,0.064,0.0585,0.0523,0.0454,0.0383,0.03,0.0205,0.0102,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0823,0.0825,0.0823,0.0819,0.0808,0.0792,0.077,0.0735,0.0683,0.0626,0.0561,0.0493,0.0414,0.0325,0.0227,0.0119,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0911,0.0911,0.091,0.0906,0.0897,0.0882,0.0863,0.0831,0.0783,0.073,0.0669,0.0604,0.0528,0.0443,0.035,0.0245,0.0128,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0999,0.0998,0.0996,0.0993,0.0985,0.0972,0.0956,0.0929,0.0886,0.0835,0.0776,0.0714,0.0641,0.0561,0.0471,0.037,0.0258,0.0135,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
